Date,TOTAL_REVENUE_USD
2021-04-19,8320703.5770000005
2021-04-26,8112309.026000001
2021-05-03,7903914.475000001
2021-05-10,7695519.924000001
2021-05-17,7487125.373000001
2021-05-24,7278730.822000001
2021-05-31,7070336.271
2021-06-07,6861941.720000001
2021-06-14,6653547.169
2021-06-21,6445152.618000001
2021-06-28,6236758.067
2021-07-05,6028363.516000001
2021-07-12,5819968.965
2021-07-19,5611574.414000001
2021-07-26,5403179.863
2021-08-02,5194785.312
2021-08-09,4986390.761
2021-08-16,4777996.21
2021-08-23,4569601.659
2021-08-30,4361207.108
2021-09-06,4152812.557
2021-09-13,3944418.006
2021-09-20,3736023.455
2021-09-27,3527628.904
2021-10-04,3319234.353
2021-10-11,3110839.802
2021-10-18,2902445.251
2021-10-25,2694050.7
2021-11-01,2485656.149
2021-11-08,2277261.598
2021-11-15,2068867.0470000003
2021-11-22,1860472.4959999993
2021-11-29,1652077.9449999994
2021-12-06,1443683.3939999994
2021-12-13,1235288.8429999994
2021-12-20,1026894.2919999994
2021-12-27,818499.7409999995
2022-01-03,610105.19
2022-01-10,191929.37000000005
2022-01-17,650706.7800000001
2022-01-24,2876976.16
2022-01-31,0.0
2022-02-07,1847898.27
2022-02-14,-1638.2500000000005
2022-02-21,2464654.8099999996
2022-02-28,562792.4800000001
2022-03-07,-187790.9299999999
2022-03-14,212277.93000000002
2022-03-21,222063.44
2022-03-28,11139884.5
2022-04-04,10861387.3875
2022-04-11,10582890.275
2022-04-18,10304393.1625
2022-04-25,10025896.05
2022-05-02,9747398.9375
2022-05-09,9468901.825
2022-05-16,9190404.7125
2022-05-23,8911907.6
2022-05-30,8633410.4875
2022-06-06,8354913.375
2022-06-13,8076416.262499999
2022-06-20,7797919.15
2022-06-27,7519422.0375
2022-07-04,7240924.925
2022-07-11,6962427.8125
2022-07-18,6683930.7
2022-07-25,6405433.587499999
2022-08-01,6126936.475
2022-08-08,5848439.3625
2022-08-15,5569942.25
2022-08-22,5291445.1375
2022-08-29,5012948.024999999
2022-09-05,4734450.9125
2022-09-12,4455953.8
2022-09-19,4177456.6875
2022-09-26,3898959.5749999993
2022-10-03,3620462.4624999994
2022-10-10,3341965.3499999996
2022-10-17,3063468.2375
2022-10-24,2784971.125
2022-10-31,2506474.0124999993
2022-11-07,2227976.9000000004
2022-11-14,1949479.7874999996
2022-11-21,1670982.6749999989
2022-11-28,1392485.5625
2022-12-05,1113988.4499999993
2022-12-12,835491.3375000004
2022-12-19,556994.2249999996
2022-12-26,278497.1124999989
2023-01-02,0.0
2023-01-09,235058.59999999998
2023-01-16,587688.88
2023-01-23,2331607.18
2023-01-30,0.0
2023-02-06,0.0
2023-02-13,-153911.46
2023-02-20,5906743.56
2023-02-27,0.0
2023-03-06,0.0
2023-03-13,-43563.81
2023-03-20,0.0
2023-03-27,9141632.52
2023-04-03,2466493.88
2023-04-10,2406479.027317073
2023-04-17,2346464.174634146
2023-04-24,2286449.3219512193
2023-05-01,2226434.4692682927
2023-05-08,2166419.616585366
2023-05-15,2106404.763902439
2023-05-22,2046389.911219512
2023-05-29,1986375.0585365854
2023-06-05,1926360.2058536585
2023-06-12,1866345.3531707316
2023-06-19,1806330.5004878049
2023-06-26,1746315.647804878
2023-07-03,1686300.795121951
2023-07-10,1626285.9424390243
2023-07-17,1566271.0897560976
2023-07-24,1506256.2370731707
2023-07-31,1446241.3843902438
2023-08-07,1386226.531707317
2023-08-14,1326211.6790243902
2023-08-21,1266196.8263414635
2023-08-28,1206181.9736585366
2023-09-04,1146167.1209756096
2023-09-11,1086152.268292683
2023-09-18,1026137.415609756
2023-09-25,966122.5629268293
2023-10-02,906107.7102439024
2023-10-09,846092.8575609757
2023-10-16,786078.0048780488
2023-10-23,726063.1521951219
2023-10-30,666048.2995121952
2023-11-06,606033.4468292682
2023-11-13,546018.5941463416
2023-11-20,486003.7414634146
2023-11-27,425988.88878048793
2023-12-04,365974.036097561
2023-12-11,305959.1834146343
2023-12-18,245944.33073170716
2023-12-25,185929.47804878047
2024-01-01,125914.62536585378
2024-01-08,65899.77268292708
2024-01-15,5884.92
2024-01-22,105638.09
2024-01-29,52819.045
2024-02-05,0.0
2024-02-12,33775.34
2024-02-19,67550.68
