Date,Actual,Forecast
2020-03-02,0.0,75529.37353850249
2020-03-09,565608.61,1002525.1028620187
2020-03-16,132397.67,92473.21644670126
2020-03-23,-1117.1199999999994,1714918.1741461148
2020-03-30,3105994.02,3325810.173466182
2020-04-06,1297177.22,1173349.6265592463
2020-04-13,1263916.2656410257,1210765.3505023078
2020-04-20,1230655.3112820513,1217432.6971541434
2020-04-27,1197394.3569230768,1206639.2748833667
2020-05-04,1164133.4025641026,1185931.10422296
2020-05-11,1130872.4482051283,1159593.5765991989
2020-05-18,1097611.4938461538,1130060.3850284207
2020-05-25,1064350.5394871794,1098713.6516010226
2020-06-01,1031089.5851282051,1066338.317081505
2020-06-08,997828.6307692308,1033380.1870232678
2020-06-15,964567.6764102564,1000092.4751115387
2020-06-22,931306.7220512821,966619.0245160732
2020-06-29,898045.7676923077,933041.5689510831
2020-07-06,864784.8133333334,899406.5720457605
2020-07-13,831523.858974359,865740.4693347112
2020-07-20,798262.9046153846,832058.3241551635
2020-07-27,765001.9502564103,798368.7433380279
2020-08-03,731740.9958974359,764676.6688583785
2020-08-10,698480.0415384616,730984.963257811
2020-08-17,665219.0871794872,697295.3100595641
2020-08-24,631958.1328205129,663608.7251749282
2020-08-31,598697.1784615385,629925.847397156
2020-09-07,565436.2241025642,596247.1034435929
2020-09-14,532175.2697435898,562572.8017579373
2020-09-21,498914.31538461545,528903.1858592817
2020-09-28,465653.3610256411,495238.46472163306
2020-10-05,432392.40666666673,461578.8301132382
2020-10-12,399131.4523076924,427924.4665344783
2020-10-19,365870.497948718,394275.5569570898
2020-10-26,332609.54358974367,360632.2861836742
2020-11-02,299348.5892307693,326994.8428607533
2020-11-09,266087.63487179496,293363.42073273676
2020-11-16,232826.6805128206,259738.21947061468
2020-11-23,199565.72615384613,226119.44526547636
2020-11-30,166304.7717948719,192507.31129523925
2020-12-07,133043.81743589742,158902.03812677192
2020-12-14,99782.86307692318,125303.85408930846
2020-12-21,66521.90871794871,91712.9956401342
2020-12-28,33260.95435897447,73219.75365573438
2021-01-04,0.0,-66414.23440290656
2021-01-11,-1139925.38,-129477.8640277959
2021-01-18,98199.8,-523705.5587670766
2021-01-25,2294451.91,414938.756424608
2021-02-01,697.7500000000291,513631.4814426142
2021-02-08,109439.43000000001,270474.69399718544
2021-02-15,1018149.19,1113882.350636439
2021-02-22,3361185.2,1629542.7116281637
2021-03-01,-0.010000000009313226,604028.0805154117
2021-03-08,99134.62,967981.8460038574
2021-03-15,1279566.79,130312.56759278067
2021-03-22,229499.63,1274364.9626248213
2021-03-29,8945887.23,2927450.691050866
