Date,Actual,Forecast
2022-08-22,5291445.1375,1.1103738e+06
2022-08-29,5012948.025,1.0881382e+06
2022-09-05,4734450.912500001,1.0702985e+06
2022-09-12,4455953.8,1.0551176e+06
2022-09-19,4177456.6875,1.04092675e+06
2022-09-26,3898959.575,1.026194e+06
2022-10-03,3620462.4625000004,1.0095908e+06
2022-10-10,3341965.3500000006,990041.25
2022-10-17,3063468.2375,966757.3
2022-10-24,2784971.125,939250.0
2022-10-31,2506474.012500001,907325.06
2022-11-07,2227976.9000000004,871053.7
2022-11-14,1949479.7874999996,830730.94
2022-11-21,1670982.6750000007,786824.6
2022-11-28,1392485.5625,739918.25
2022-12-05,1113988.4500000011,690656.7
2022-12-12,835491.3375000004,639703.3
2022-12-19,556994.2249999996,587700.56
2022-12-26,278497.11250000075,535244.9
2023-01-02,0.0,482871.16
2023-01-09,235058.59999999998,431041.47
2023-01-16,587688.88,380085.66
2023-01-23,2331607.18,330158.72
2023-01-30,0.0,341493.16
2023-02-06,0.0,332487.0
2023-02-13,-153911.46,314189.1
2023-02-20,5906743.56,323651.53
2023-02-27,0.0,323651.53
2023-03-06,0.0,323651.53
2023-03-13,-43563.81,323651.53
2023-03-20,0.0,323651.53
2023-03-27,9141632.52,323651.53
2023-04-03,2466493.88,323651.53
2023-04-10,2406479.027317073,323651.53
2023-04-17,2346464.174634146,323651.53
2023-04-24,2286449.3219512193,323651.53
2023-05-01,2226434.4692682927,323651.53
2023-05-08,2166419.6165853655,323651.53
2023-05-15,2106404.763902439,323651.53
2023-05-22,2046389.911219512,323651.53
2023-05-29,1986375.0585365852,323651.53
2023-06-05,1926360.2058536585,323651.53
2023-06-12,1866345.3531707316,323651.53
2023-06-19,1806330.5004878049,323651.53
2023-06-26,1746315.647804878,323651.53
2023-07-03,1686300.795121951,323651.53
2023-07-10,1626285.9424390243,323651.53
2023-07-17,1566271.0897560976,323651.53
2023-07-24,1506256.2370731705,323651.53
2023-07-31,1446241.3843902438,323651.53
2023-08-07,1386226.531707317,323651.53
2023-08-14,1326211.6790243902,323651.53
2023-08-21,1266196.8263414633,323651.53
2023-08-28,1206181.9736585366,323651.53
2023-09-04,1146167.1209756096,323651.53
2023-09-11,1086152.268292683,323651.53
2023-09-18,1026137.415609756,323651.53
2023-09-25,966122.5629268291,323651.53
2023-10-02,906107.7102439024,323651.53
2023-10-09,846092.8575609755,323651.53
2023-10-16,786078.0048780488,323651.53
2023-10-23,726063.1521951219,323651.53
2023-10-30,666048.2995121952,323651.53
2023-11-06,606033.4468292682,323651.53
2023-11-13,546018.5941463413,323651.53
2023-11-20,486003.7414634146,323651.53
2023-11-27,425988.8887804877,323651.53
2023-12-04,365974.036097561,323651.53
2023-12-11,305959.1834146343,323651.53
2023-12-18,245944.33073170716,323651.53
2023-12-25,185929.47804878047,323651.53
2024-01-01,125914.62536585378,323651.53
2024-01-08,65899.77268292662,323651.53
2024-01-15,5884.92,323651.53
