Date,Actual,Forecast
2020-06-22,931306.7220512821,1164124.1713664972
2020-06-29,898045.7676923077,1134507.2479384085
2020-07-06,864784.8133333334,1104919.8659464244
2020-07-13,831523.858974359,1075347.0320460293
2020-07-20,798262.9046153846,1045781.3625559262
2020-07-27,765001.9502564103,1016219.2212794393
2020-08-03,731740.9958974359,986658.8175208799
2020-08-10,698480.0415384616,957099.2694272196
2020-08-17,665219.0871794872,927540.1427176544
2020-08-24,631958.1328205129,897981.2235245549
2020-08-31,598697.1784615385,868422.4065258289
2020-09-07,565436.2241025642,838863.6398541452
2020-09-14,532175.2697435898,809304.8979667139
2020-09-21,498914.31538461545,779746.168284633
2020-09-28,465653.3610256411,750187.444613247
2020-10-05,432392.40666666673,720628.7239019116
2020-10-12,399131.4523076924,691070.0046482941
2020-10-19,365870.497948718,661511.28611255
2020-10-26,332609.54358974367,631952.5679303329
2020-11-02,299348.5892307693,602393.8499222146
2020-11-09,266087.63487179496,572835.131999834
2020-11-16,232826.6805128206,543276.4141196762
2020-11-23,199565.72615384613,513717.6962603112
2020-11-30,166304.7717948719,484158.9784111865
2020-12-07,133043.81743589742,454600.26056710444
2020-12-14,99782.86307692318,425041.542725506
2020-12-21,66521.90871794871,395482.8248851304
2020-12-28,33260.95435897447,365924.1070453571
2021-01-04,0.0,336365.38920588046
2021-01-11,-1139925.38,306806.67136654956
2021-01-18,98199.8,-221905.12206780538
2021-01-25,2294451.91,76170.90147555945
2021-02-01,697.7500000000291,1213566.3992733064
2021-02-08,109439.43000000001,739111.2393791149
2021-02-15,1018149.19,554506.3460356856
2021-02-22,3361185.2,873462.1347961414
2021-03-01,-0.010000000009313226,2087345.992201561
2021-03-08,99134.62,1169101.4480701552
2021-03-15,1279566.79,761613.1012690379
2021-03-22,229499.63,1093365.2795967525
2021-03-29,8945887.23,783115.9759807857
2021-04-05,8737492.679,4561793.683448235
2021-04-12,8529098.128,6328661.2684114445
2021-04-19,8320703.5770000005,7104784.943098887
2021-04-26,8112309.026000001,7393002.98257325
2021-05-03,7903914.475000001,7440945.097660237
2021-05-10,7695519.924000001,7370559.987821863
2021-05-17,7487125.373,7241902.988304008
2021-05-24,7278730.822000001,7084549.185248677
2021-05-31,7070336.271,6913063.241674168
2021-06-07,6861941.72,6734617.72870396
2021-06-14,6653547.169,6552744.878869403
2021-06-21,6445152.618,6369184.189268641
2021-06-28,6236758.067,6184792.2994710095
2021-07-05,6028363.516,5999991.073561557
2021-07-12,5819968.965,5814988.264383629
2021-07-19,5611574.414,5629886.182717997
2021-07-26,5403179.863,5444735.212933375
2021-08-02,5194785.312,5259560.1675137635
2021-08-09,4986390.761,5074373.26571244
2021-08-16,4777996.209999999,4889180.525070833
2021-08-23,4569601.659,4703984.909011022
2021-08-30,4361207.108,4518787.876911474
2021-09-06,4152812.557,4333590.147463439
2021-09-13,3944418.005999999,4148392.07459643
2021-09-20,3736023.454999999,3963193.832607965
2021-09-27,3527628.903999999,3777995.5073332842
2021-10-04,3319234.352999999,3592797.141043146
2021-10-11,3110839.801999999,3407598.754554376
2021-10-18,2902445.250999999,3222400.358118507
2021-10-25,2694050.6999999993,3037201.9567840514
2021-11-01,2485656.1489999993,2852003.5530372187
2021-11-08,2277261.5979999993,2666805.1481023766
2021-11-15,2068867.0469999993,2481606.7425824837
2021-11-22,1860472.4959999993,2296408.3367744735
2021-11-29,1652077.9449999994,2111209.9308245764
2021-12-06,1443683.3939999994,1926011.524804805
2021-12-13,1235288.8429999994,1740813.118750623
2021-12-20,1026894.2919999994,1555614.712679495
2021-12-27,818499.7409999995,1370416.306600022
2022-01-03,610105.19,1185217.900516439
2022-01-10,191929.37000000005,1000019.4944308323
2022-01-17,650706.7800000001,720200.7470759733
2022-01-24,2876976.16,789328.3784594366
2022-01-31,0.0,1827514.127303251
2022-02-07,1847898.27,1041143.6324244938
2022-02-14,-1638.2500000000005,1487365.8322661798
2022-02-21,2464654.8099999996,872893.9468530328
2022-02-28,562792.4800000001,1682692.5586806936
2022-03-07,-187790.9299999999,1223667.7579044318
2022-03-14,212277.93000000002,659069.3228435195
2022-03-21,222063.44,561473.1596569591
2022-03-28,11139884.5,517824.2543318069
2022-04-04,10861387.3875,5420733.860494222
2022-04-11,10582890.275,7709625.840381903
2022-04-18,10304393.1625,8711208.438725423
2022-04-25,10025896.05,9078837.605709234
2022-05-02,9747398.9375,9134267.577305643
2022-05-09,9468901.825,9035950.707605693
2022-05-16,9190404.7125,8861919.064908728
2022-05-23,8911907.6,8650600.627883814
2022-05-30,8633410.4875,8420919.789755095
2022-06-06,8354913.375,8182196.131497308
2022-06-13,8076416.2625,7939019.210541231
2022-06-20,7797919.15,7693649.218355502
2022-06-27,7519422.0375,7447199.217703131
2022-07-04,7240924.925000001,7200217.3518417105
2022-07-11,6962427.8125,6952973.561551611
2022-07-18,6683930.7,6705600.782929179
2022-07-25,6405433.5875,6458164.4822062645
2022-08-01,6126936.475000001,6210696.899140391
2022-08-08,5848439.3625,5963213.910649105
2022-08-15,5569942.25,5715723.335541546
2022-08-22,5291445.1375,5468229.024299157
2022-08-29,5012948.025,5220732.873145143
2022-09-05,4734450.912500001,4973235.815901028
